Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Сбербанк России (ПАО),2009,1,13.35,-21.511101090472806,16.3,11.3,6,1.25,8.5,23,8,5,105,8.5,10,Частный,Дно,0
Сбербанк России (ПАО),2009,2,13.85,10.920649567662476,8.6,11.3,6,1.25,8.5,23,8,5,105,8.5,10,Частный,Дно,0
Сбербанк России (ПАО),2009,3,13.98,12.617920329998533,6.5,11.3,6,1.25,8.5,23,8,5,105,8.5,10,Частный,Дно,0
Сбербанк России (ПАО),2009,4,13.16,3.890846860429842,5.8,11.3,6,1.25,8.5,23,8,5,105,8.5,10,Частный,Дно,0
Банк ВТБ (ПАО),2009,1,13.35,-21.511101090472806,16.3,15.12,3.25,1.05,1.05,160.75,22.3,25.18,15.05,200.88,35.12,Частный,Дно,0
Банк ВТБ (ПАО),2009,2,13.85,10.920649567662476,8.6,15.12,3.25,1.05,1.05,160.75,22.3,25.18,15.05,200.88,35.12,Частный,Дно,0
Банк ВТБ (ПАО),2009,3,13.98,12.617920329998533,6.5,15.12,3.25,1.05,1.05,160.75,22.3,25.18,15.05,200.88,35.12,Частный,Дно,0
Банк ВТБ (ПАО),2009,4,13.16,3.890846860429842,5.8,15.12,3.25,1.05,1.05,160.75,22.3,25.18,15.05,200.88,35.12,Частный,Дно,0
Газпромбанк (АО),2009,1,13.35,-21.511101090472806,16.3,12,3,1.3,92.15,21.05,1.95,25.5,140.75,8.9,8.6,Частный,Дно,0
Газпромбанк (АО),2009,2,13.85,10.920649567662476,8.6,12,3,1.3,92.15,21.05,1.95,25.5,140.75,8.9,8.6,Частный,Дно,0
Газпромбанк (АО),2009,3,13.98,12.617920329998533,6.5,12,3,1.3,92.15,21.05,1.95,25.5,140.75,8.9,8.6,Частный,Дно,0
Газпромбанк (АО),2009,4,13.16,3.890846860429842,5.8,12,3,1.3,92.15,21.05,1.95,25.5,140.75,8.9,8.6,Частный,Дно,0
Россельхозбанк (АО),2009,1,13.35,-21.511101090472806,16.3,15.8,2.5,0.65,130.2,17.8,0.2,10.5,160.3,20.15,5.4,Частный,Дно,0
Россельхозбанк (АО),2009,2,13.85,10.920649567662476,8.6,15.8,2.5,0.65,130.2,17.8,0.2,10.5,160.3,20.15,5.4,Частный,Дно,0
Россельхозбанк (АО),2009,3,13.98,12.617920329998533,6.5,15.8,2.5,0.65,130.2,17.8,0.2,10.5,160.3,20.15,5.4,Частный,Дно,0
Россельхозбанк (АО),2009,4,13.16,3.890846860429842,5.8,15.8,2.5,0.65,130.2,17.8,0.2,10.5,160.3,20.15,5.4,Частный,Дно,0
Альфа-Банк (АО),2009,1,13.35,-21.511101090472806,16.3,10.8,3,0.85,0.95,9.25,0.15,5.2,130.5,17.1,12,Частный,Дно,0
Альфа-Банк (АО),2009,2,13.85,10.920649567662476,8.6,10.8,3,0.85,0.95,9.25,0.15,5.2,130.5,17.1,12,Частный,Дно,0
Альфа-Банк (АО),2009,3,13.98,12.617920329998533,6.5,10.8,3,0.85,0.95,9.25,0.15,5.2,130.5,17.1,12,Частный,Дно,0
Альфа-Банк (АО),2009,4,13.16,3.890846860429842,5.8,10.8,3,0.85,0.95,9.25,0.15,5.2,130.5,17.1,12,Частный,Дно,0
Раiffeisenbank (АО),2009,1,13.35,-21.511101090472806,16.3,13.05,3.5,1.25,90.2,20,1.9,-10.75,135.35,26.4,-21.1,Частный,Дно,0
Раiffeisenbank (АО),2009,2,13.85,10.920649567662476,8.6,13.05,3.5,1.25,90.2,20,1.9,-10.75,135.35,26.4,-21.1,Частный,Дно,0
Раiffeisenbank (АО),2009,3,13.98,12.617920329998533,6.5,13.05,3.5,1.25,90.2,20,1.9,-10.75,135.35,26.4,-21.1,Частный,Дно,0
Раiffeisenbank (АО),2009,4,13.16,3.890846860429842,5.8,13.05,3.5,1.25,90.2,20,1.9,-10.75,135.35,26.4,-21.1,Частный,Дно,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2009,1,13.35,-21.511101090472806,16.3,18.9,0.41,0.37,78.4,18.74,0.015,-3.63,275.66,49.18,-13841.27,Частный,Дно,1
АКБ “Международный Промышленный Банк” (Межпромбанк),2009,2,13.85,10.920649567662476,8.6,18.9,0.41,0.37,78.4,18.74,0.015,-3.63,275.66,49.18,-13841.27,Частный,Дно,1
АКБ “Международный Промышленный Банк” (Межпромбанк),2009,3,13.98,12.617920329998533,6.5,18.9,0.41,0.37,78.4,18.74,0.015,-3.63,275.66,49.18,-13841.27,Частный,Дно,1
АКБ “Международный Промышленный Банк” (Межпромбанк),2009,4,13.16,3.890846860429842,5.8,18.9,0.41,0.37,78.4,18.74,0.015,-3.63,275.66,49.18,-13841.27,Частный,Дно,1
ЗАО “Донской Народный Банк”,2009,1,13.35,-21.511101090472806,16.3,11.2,15,0.01,87.9,15.09,0.01,21.64,93.01,2.21,-90.9,Частный,Дно,1
ЗАО “Донской Народный Банк”,2009,2,13.85,10.920649567662476,8.6,11.2,15,0.01,87.9,15.09,0.01,21.64,93.01,2.21,-90.9,Частный,Дно,1
ЗАО “Донской Народный Банк”,2009,3,13.98,12.617920329998533,6.5,11.2,15,0.01,87.9,15.09,0.01,21.64,93.01,2.21,-90.9,Частный,Дно,1
ЗАО “Донской Народный Банк”,2009,4,13.16,3.890846860429842,5.8,11.2,15,0.01,87.9,15.09,0.01,21.64,93.01,2.21,-90.9,Частный,Дно,1
