Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Агрохимбанк,2008,1,12.56,-9.384327163489036,2.8,5.34,7.19,0.00048,20,12.56,7.23,7.69,270,10,10,Частный,Спад,1
Агрохимбанк,2008,2,12.66,15.32642248531566,4.2,5.34,7.19,0.00048,20,12.56,7.23,7.69,270,10,10,Частный,Спад,1
Агрохимбанк,2008,3,13.35,12.734243764069353,4.4,5.34,7.19,0.00048,20,12.56,7.23,7.69,270,10,10,Частный,Спад,1
Агрохимбанк,2008,4,14.3,-7.9984012748472,7.6,5.34,7.19,0.00048,20,12.56,7.23,7.69,270,10,10,Частный,Спад,1
Балткредобанк,2008,1,12.56,-9.384327163489036,2.8,5.11,12.3,-0.12,25.95,5.75,0.6,23.22,320,34.68,-4.23,Частный,Спад,1
Балткредобанк,2008,2,12.66,15.32642248531566,4.2,5.11,12.3,-0.12,25.95,5.75,0.6,23.22,320,34.68,-4.23,Частный,Спад,1
Балткредобанк,2008,3,13.35,12.734243764069353,4.4,5.11,12.3,-0.12,25.95,5.75,0.6,23.22,320,34.68,-4.23,Частный,Спад,1
Балткредобанк,2008,4,14.3,-7.9984012748472,7.6,5.11,12.3,-0.12,25.95,5.75,0.6,23.22,320,34.68,-4.23,Частный,Спад,1
КБ “Капитал Кредит”,2008,1,12.56,-9.384327163489036,2.8,8,15,-0.5,20,15.1,0.5,10,280,60,-3,Частный,Спад,1
КБ “Капитал Кредит”,2008,2,12.66,15.32642248531566,4.2,8,15,-0.5,20,15.1,0.5,10,280,60,-3,Частный,Спад,1
КБ “Капитал Кредит”,2008,3,13.35,12.734243764069353,4.4,8,15,-0.5,20,15.1,0.5,10,280,60,-3,Частный,Спад,1
КБ “Капитал Кредит”,2008,4,14.3,-7.9984012748472,7.6,8,15,-0.5,20,15.1,0.5,10,280,60,-3,Частный,Спад,1
АКБ “Лефко-банк”,2008,1,12.56,-9.384327163489036,2.8,12,22.84,-0.8,70,10.2,18,-19.94,315,67.25,57.92,Частный,Спад,1
АКБ “Лефко-банк”,2008,2,12.66,15.32642248531566,4.2,12,22.84,-0.8,70,10.2,18,-19.94,315,67.25,57.92,Частный,Спад,1
АКБ “Лефко-банк”,2008,3,13.35,12.734243764069353,4.4,12,22.84,-0.8,70,10.2,18,-19.94,315,67.25,57.92,Частный,Спад,1
АКБ “Лефко-банк”,2008,4,14.3,-7.9984012748472,7.6,12,22.84,-0.8,70,10.2,18,-19.94,315,67.25,57.92,Частный,Спад,1
ЗАО “МИРА-банк”,2008,1,12.56,-9.384327163489036,2.8,61.45,4,2.5,367,10.1,23.45,-1,289,21,90,Частный,Спад,1
ЗАО “МИРА-банк”,2008,2,12.66,15.32642248531566,4.2,61.45,4,2.5,367,10.1,23.45,-1,289,21,90,Частный,Спад,1
ЗАО “МИРА-банк”,2008,3,13.35,12.734243764069353,4.4,61.45,4,2.5,367,10.1,23.45,-1,289,21,90,Частный,Спад,1
ЗАО “МИРА-банк”,2008,4,14.3,-7.9984012748472,7.6,61.45,4,2.5,367,10.1,23.45,-1,289,21,90,Частный,Спад,1
АКБ “Премьер”,2008,1,12.56,-9.384327163489036,2.8,10.52,8,-0.29,31.34,6,0.28,-14.98,110,17,-64.87,Частный,Спад,1
АКБ “Премьер”,2008,2,12.66,15.32642248531566,4.2,10.52,8,-0.29,31.34,6,0.28,-14.98,110,17,-64.87,Частный,Спад,1
АКБ “Премьер”,2008,3,13.35,12.734243764069353,4.4,10.52,8,-0.29,31.34,6,0.28,-14.98,110,17,-64.87,Частный,Спад,1
АКБ “Премьер”,2008,4,14.3,-7.9984012748472,7.6,10.52,8,-0.29,31.34,6,0.28,-14.98,110,17,-64.87,Частный,Спад,1
АКБ “Русский Банкирский Дом”,2008,1,12.56,-9.384327163489036,2.8,12,23,-0.5,41,15.3,0.25,-42,138.74,29,-38.93,Частный,Спад,1
АКБ “Русский Банкирский Дом”,2008,2,12.66,15.32642248531566,4.2,12,23,-0.5,41,15.3,0.25,-42,138.74,29,-38.93,Частный,Спад,1
АКБ “Русский Банкирский Дом”,2008,3,13.35,12.734243764069353,4.4,12,23,-0.5,41,15.3,0.25,-42,138.74,29,-38.93,Частный,Спад,1
АКБ “Русский Банкирский Дом”,2008,4,14.3,-7.9984012748472,7.6,12,23,-0.5,41,15.3,0.25,-42,138.74,29,-38.93,Частный,Спад,1
Сбербанк России (ПАО),2008,1,12.56,-9.384327163489036,2.8,11.48,3,1.67,8.89,22.63,6.75,33.68,110.73,3.44,13.96,Частный,Спад,0
Сбербанк России (ПАО),2008,2,12.66,15.32642248531566,4.2,11.48,3,1.67,8.89,22.63,6.75,33.68,110.73,3.44,13.96,Частный,Спад,0
Сбербанк России (ПАО),2008,3,13.35,12.734243764069353,4.4,11.48,3,1.67,8.89,22.63,6.75,33.68,110.73,3.44,13.96,Частный,Спад,0
Сбербанк России (ПАО),2008,4,14.3,-7.9984012748472,7.6,11.48,3,1.67,8.89,22.63,6.75,33.68,110.73,3.44,13.96,Частный,Спад,0
Банк ВТБ (ПАО),2008,1,12.56,-9.384327163489036,2.8,16.1,2,1.32,143.5,21.66,21.66,74.17,244.72,33.36,49.6,Частный,Спад,0
Банк ВТБ (ПАО),2008,2,12.66,15.32642248531566,4.2,16.1,2,1.32,143.5,21.66,21.66,74.17,244.72,33.36,49.6,Частный,Спад,0
Банк ВТБ (ПАО),2008,3,13.35,12.734243764069353,4.4,16.1,2,1.32,143.5,21.66,21.66,74.17,244.72,33.36,49.6,Частный,Спад,0
Банк ВТБ (ПАО),2008,4,14.3,-7.9984012748472,7.6,16.1,2,1.32,143.5,21.66,21.66,74.17,244.72,33.36,49.6,Частный,Спад,0
Газпромбанк (АО),2008,1,12.56,-9.384327163489036,2.8,10.9,3.5,1.37,83.3,9.25,1.77,139.8,157.7,6.64,14.65,Частный,Спад,0
Газпромбанк (АО),2008,2,12.66,15.32642248531566,4.2,10.9,3.5,1.37,83.3,9.25,1.77,139.8,157.7,6.64,14.65,Частный,Спад,0
Газпромбанк (АО),2008,3,13.35,12.734243764069353,4.4,10.9,3.5,1.37,83.3,9.25,1.77,139.8,157.7,6.64,14.65,Частный,Спад,0
Газпромбанк (АО),2008,4,14.3,-7.9984012748472,7.6,10.9,3.5,1.37,83.3,9.25,1.77,139.8,157.7,6.64,14.65,Частный,Спад,0
Россельхозбанк (АО),2008,1,12.56,-9.384327163489036,2.8,18.6,2.06,0.18,190.9,20.51,0.81,56.6,225.7,37.4,-16.8,Частный,Спад,0
Россельхозбанк (АО),2008,2,12.66,15.32642248531566,4.2,18.6,2.06,0.18,190.9,20.51,0.81,56.6,225.7,37.4,-16.8,Частный,Спад,0
Россельхозбанк (АО),2008,3,13.35,12.734243764069353,4.4,18.6,2.06,0.18,190.9,20.51,0.81,56.6,225.7,37.4,-16.8,Частный,Спад,0
Россельхозбанк (АО),2008,4,14.3,-7.9984012748472,7.6,18.6,2.06,0.18,190.9,20.51,0.81,56.6,225.7,37.4,-16.8,Частный,Спад,0
Альфа-Банк (АО),2008,1,12.56,-9.384327163489036,2.8,10.4,2.44,1.89,81.1,8.82,0.51,26.07,147.17,13.77,78.75,Частный,Спад,0
Альфа-Банк (АО),2008,2,12.66,15.32642248531566,4.2,10.4,2.44,1.89,81.1,8.82,0.51,26.07,147.17,13.77,78.75,Частный,Спад,0
Альфа-Банк (АО),2008,3,13.35,12.734243764069353,4.4,10.4,2.44,1.89,81.1,8.82,0.51,26.07,147.17,13.77,78.75,Частный,Спад,0
Альфа-Банк (АО),2008,4,14.3,-7.9984012748472,7.6,10.4,2.44,1.89,81.1,8.82,0.51,26.07,147.17,13.77,78.75,Частный,Спад,0
Раiffeisenbank (АО),2008,1,12.56,-9.384327163489036,2.8,13.2,1.16,0.39,95.7,20.13,1.85,27.57,154.8,32.4,-18.5,Частный,Спад,0
Раiffeisenbank (АО),2008,2,12.66,15.32642248531566,4.2,13.2,1.16,0.39,95.7,20.13,1.85,27.57,154.8,32.4,-18.5,Частный,Спад,0
Раiffeisenbank (АО),2008,3,13.35,12.734243764069353,4.4,13.2,1.16,0.39,95.7,20.13,1.85,27.57,154.8,32.4,-18.5,Частный,Спад,0
Раiffeisenbank (АО),2008,4,14.3,-7.9984012748472,7.6,13.2,1.16,0.39,95.7,20.13,1.85,27.57,154.8,32.4,-18.5,Частный,Спад,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2008,1,12.56,-9.384327163489036,2.8,12,0.58,0.33,105.3,7.17,0.015,28.9,241,47.4,310,Частный,Спад,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2008,2,12.66,15.32642248531566,4.2,12,0.58,0.33,105.3,7.17,0.015,28.9,241,47.4,310,Частный,Спад,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2008,3,13.35,12.734243764069353,4.4,12,0.58,0.33,105.3,7.17,0.015,28.9,241,47.4,310,Частный,Спад,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2008,4,14.3,-7.9984012748472,7.6,12,0.58,0.33,105.3,7.17,0.015,28.9,241,47.4,310,Частный,Спад,0
ЗАО “Донской Народный Банк”,2008,1,12.56,-9.384327163489036,2.8,13.4,0.75,0.06,55.9,14.92,0.01,3.11,99.9,9.92,-92.9,Частный,Спад,0
ЗАО “Донской Народный Банк”,2008,2,12.66,15.32642248531566,4.2,13.4,0.75,0.06,55.9,14.92,0.01,3.11,99.9,9.92,-92.9,Частный,Спад,0
ЗАО “Донской Народный Банк”,2008,3,13.35,12.734243764069353,4.4,13.4,0.75,0.06,55.9,14.92,0.01,3.11,99.9,9.92,-92.9,Частный,Спад,0
ЗАО “Донской Народный Банк”,2008,4,14.3,-7.9984012748472,7.6,13.4,0.75,0.06,55.9,14.92,0.01,3.11,99.9,9.92,-92.9,Частный,Спад,0
ОАО “ТНГИ-Банк”,2008,1,12.56,-9.384327163489036,2.8,111.8,7,0.01,65,11.45,0.0001,-47.7,37.4,0,-92.9,Частный,Спад,0
ОАО “ТНГИ-Банк”,2008,2,12.66,15.32642248531566,4.2,111.8,7,0.01,65,11.45,0.0001,-47.7,37.4,0,-92.9,Частный,Спад,0
ОАО “ТНГИ-Банк”,2008,3,13.35,12.734243764069353,4.4,111.8,7,0.01,65,11.45,0.0001,-47.7,37.4,0,-92.9,Частный,Спад,0
ОАО “ТНГИ-Банк”,2008,4,14.3,-7.9984012748472,7.6,111.8,7,0.01,65,11.45,0.0001,-47.7,37.4,0,-92.9,Частный,Спад,0
АКБ “С-Банк” ,2008,1,12.56,-9.384327163489036,2.8,24.2,5,0.86,85,12.71,0.011,28.1,44.4,0,31.4,Частный,Спад,0
АКБ “С-Банк” ,2008,2,12.66,15.32642248531566,4.2,24.2,5,0.86,85,12.71,0.011,28.1,44.4,0,31.4,Частный,Спад,0
АКБ “С-Банк” ,2008,3,13.35,12.734243764069353,4.4,24.2,5,0.86,85,12.71,0.011,28.1,44.4,0,31.4,Частный,Спад,0
АКБ “С-Банк” ,2008,4,14.3,-7.9984012748472,7.6,24.2,5,0.86,85,12.71,0.011,28.1,44.4,0,31.4,Частный,Спад,0
Банк 1,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 1,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 1,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 1,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 2,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 2,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 2,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 2,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 3,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 3,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 3,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 3,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 4,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 4,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 4,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 4,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 5,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 5,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 5,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 5,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 6,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 6,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 6,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 6,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 7,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 7,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 7,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 7,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 8,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 8,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 8,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 8,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 9,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 9,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 9,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 9,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 10,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 10,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 10,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
