Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Агрохимбанк,2007,1,8.2,-9.359373784510982,3.3,9.34,0.81,0.52,6,6.56,9.94,49.93,288.36,3.2,123,Частный,Пик,0
Агрохимбанк,2007,2,7.61,14.561383898598601,3.3,9.34,0.81,0.52,6,6.56,9.94,49.93,288.36,3.2,123,Частный,Пик,0
Агрохимбанк,2007,3,7.37,14.614921411716676,3.5,9.34,0.81,0.52,6,6.56,9.94,49.93,288.36,3.2,123,Частный,Пик,0
Агрохимбанк,2007,4,7.6,10.045296058572362,5.7,9.34,0.81,0.52,6,6.56,9.94,49.93,288.36,3.2,123,Частный,Пик,0
Балткредобанк,2007,1,8.2,-9.359373784510982,3.3,8,5,0.2,35,5.6,0.68,42,300,27,-2.33,Частный,Пик,0
Балткредобанк,2007,2,7.61,14.561383898598601,3.3,8,5,0.2,35,5.6,0.68,42,300,27,-2.33,Частный,Пик,0
Балткредобанк,2007,3,7.37,14.614921411716676,3.5,8,5,0.2,35,5.6,0.68,42,300,27,-2.33,Частный,Пик,0
Балткредобанк,2007,4,7.6,10.045296058572362,5.7,8,5,0.2,35,5.6,0.68,42,300,27,-2.33,Частный,Пик,0
КБ “Капитал Кредит”,2007,1,8.2,-9.359373784510982,3.3,12,7,0.2,30,15.2,0.7,28,220,50,12,Частный,Пик,0
КБ “Капитал Кредит”,2007,2,7.61,14.561383898598601,3.3,12,7,0.2,30,15.2,0.7,28,220,50,12,Частный,Пик,0
КБ “Капитал Кредит”,2007,3,7.37,14.614921411716676,3.5,12,7,0.2,30,15.2,0.7,28,220,50,12,Частный,Пик,0
КБ “Капитал Кредит”,2007,4,7.6,10.045296058572362,5.7,12,7,0.2,30,15.2,0.7,28,220,50,12,Частный,Пик,0
АКБ “Лефко-банк”,2007,1,8.2,-9.359373784510982,3.3,21.33,12.43,0.223,120.32,10.8,21.3,-8.83,300,50,-23,Частный,Пик,0
АКБ “Лефко-банк”,2007,2,7.61,14.561383898598601,3.3,21.33,12.43,0.223,120.32,10.8,21.3,-8.83,300,50,-23,Частный,Пик,0
АКБ “Лефко-банк”,2007,3,7.37,14.614921411716676,3.5,21.33,12.43,0.223,120.32,10.8,21.3,-8.83,300,50,-23,Частный,Пик,0
АКБ “Лефко-банк”,2007,4,7.6,10.045296058572362,5.7,21.33,12.43,0.223,120.32,10.8,21.3,-8.83,300,50,-23,Частный,Пик,0
ЗАО “МИРА-банк”,2007,1,8.2,-9.359373784510982,3.3,56.78,3.21,2.78,340,9.82,22,-2.12,260,20,100,Частный,Пик,0
ЗАО “МИРА-банк”,2007,2,7.61,14.561383898598601,3.3,56.78,3.21,2.78,340,9.82,22,-2.12,260,20,100,Частный,Пик,0
ЗАО “МИРА-банк”,2007,3,7.37,14.614921411716676,3.5,56.78,3.21,2.78,340,9.82,22,-2.12,260,20,100,Частный,Пик,0
ЗАО “МИРА-банк”,2007,4,7.6,10.045296058572362,5.7,56.78,3.21,2.78,340,9.82,22,-2.12,260,20,100,Частный,Пик,0
АКБ “Премьер”,2007,1,8.2,-9.359373784510982,3.3,12.21,5,0.53,34.17,6.03,0.298,-10.89,97.04,15,-41.91,Частный,Пик,0
АКБ “Премьер”,2007,2,7.61,14.561383898598601,3.3,12.21,5,0.53,34.17,6.03,0.298,-10.89,97.04,15,-41.91,Частный,Пик,0
АКБ “Премьер”,2007,3,7.37,14.614921411716676,3.5,12.21,5,0.53,34.17,6.03,0.298,-10.89,97.04,15,-41.91,Частный,Пик,0
АКБ “Премьер”,2007,4,7.6,10.045296058572362,5.7,12.21,5,0.53,34.17,6.03,0.298,-10.89,97.04,15,-41.91,Частный,Пик,0
АКБ “Русский Банкирский Дом”,2007,1,8.2,-9.359373784510982,3.3,18,15,0.1,98,15.5,0.3,-30,118.4234,20,-19.75,Частный,Пик,0
АКБ “Русский Банкирский Дом”,2007,2,7.61,14.561383898598601,3.3,18,15,0.1,98,15.5,0.3,-30,118.4234,20,-19.75,Частный,Пик,0
