Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Агрохимбанк,2003,1,14.29,-5.8068465623421055,7.3,7.5,1.2,0.18,65,10,0.24,182.23,75.54,15,47.33,Частный,Подъем,0
Агрохимбанк,2003,2,14.82,8.789155940807603,2.0,7.5,1.2,0.18,65,10,0.24,182.23,75.54,15,47.33,Частный,Подъем,0
Агрохимбанк,2003,3,14.78,16.07274248117121,4.0,7.5,1.2,0.18,65,10,0.24,182.23,75.54,15,47.33,Частный,Подъем,0
Агрохимбанк,2003,4,14.62,1.5274907758913159,5.2,7.5,1.2,0.18,65,10,0.24,182.23,75.54,15,47.33,Частный,Подъем,0
Агрохимбанк,2004,1,11.28,-3.818034610298593,1.1,8.78,0.06,0.25,84.97,14.31,0.0045,146.58,89.23,11.48,32.86,Частный,Подъем,0
Агрохимбанк,2004,2,10.58,12.969168812212374,5.2,8.78,0.06,0.25,84.97,14.31,0.0045,146.58,89.23,11.48,32.86,Частный,Подъем,0
Агрохимбанк,2004,3,10.25,15.671595592416775,3.8,8.78,0.06,0.25,84.97,14.31,0.0045,146.58,89.23,11.48,32.86,Частный,Подъем,0
Агрохимбанк,2004,4,10.22,7.659556893485675,1.1,8.78,0.06,0.25,84.97,14.31,0.0045,146.58,89.23,11.48,32.86,Частный,Подъем,0
Агрохимбанк,2005,1,12.7,-9.85249767610451,1.1,16.48,0.259,0.59,28,6.295,0.00542,33.75,120.6,14.15,182,Частный,Подъем,0
Агрохимбанк,2005,2,12.96,13.889074752811648,1.3,16.48,0.259,0.59,28,6.295,0.00542,33.75,120.6,14.15,182,Частный,Подъем,0
Агрохимбанк,2005,3,13.63,15.112037669839108,3.4,16.48,0.259,0.59,28,6.295,0.00542,33.75,120.6,14.15,182,Частный,Подъем,0
Агрохимбанк,2005,4,13.77,6.5491293179213095,2.9,16.48,0.259,0.59,28,6.295,0.00542,33.75,120.6,14.15,182,Частный,Подъем,0
Агрохимбанк,2006,1,10.71,-6.986160785351647,3.1,13.29,0.81,0.84,12,14.38,0.007,2.78,310.64,2.4,83.17,Частный,Подъем,0
Агрохимбанк,2006,2,11.18,9.927963694161468,3.3,13.29,0.81,0.84,12,14.38,0.007,2.78,310.64,2.4,83.17,Частный,Подъем,0
Агрохимбанк,2006,3,10.61,14.255131709102486,2.0,13.29,0.81,0.84,12,14.38,0.007,2.78,310.64,2.4,83.17,Частный,Подъем,0
Агрохимбанк,2006,4,9.77,2.810507874520507,4.1,13.29,0.81,0.84,12,14.38,0.007,2.78,310.64,2.4,83.17,Частный,Подъем,0
Балткредобанк,2003,1,14.29,-5.8068465623421055,7.3,15.23,0.8,1.52,71.14,3.52,0.54,8.21,204.82,15,20,Частный,Подъем,0
Балткредобанк,2003,2,14.82,8.789155940807603,2.0,15.23,0.8,1.52,71.14,3.52,0.54,8.21,204.82,15,20,Частный,Подъем,0
Балткредобанк,2003,3,14.78,16.07274248117121,4.0,15.23,0.8,1.52,71.14,3.52,0.54,8.21,204.82,15,20,Частный,Подъем,0
Балткредобанк,2003,4,14.62,1.5274907758913159,5.2,15.23,0.8,1.52,71.14,3.52,0.54,8.21,204.82,15,20,Частный,Подъем,0
Балткредобанк,2004,1,11.28,-3.818034610298593,1.1,12.48,0.25,1.34,54,5.42,0.73,10,264.37,20,15,Частный,Подъем,0
Балткредобанк,2004,2,10.58,12.969168812212374,5.2,12.48,0.25,1.34,54,5.42,0.73,10,264.37,20,15,Частный,Подъем,0
Балткредобанк,2004,3,10.25,15.671595592416775,3.8,12.48,0.25,1.34,54,5.42,0.73,10,264.37,20,15,Частный,Подъем,0
Балткредобанк,2004,4,10.22,7.659556893485675,1.1,12.48,0.25,1.34,54,5.42,0.73,10,264.37,20,15,Частный,Подъем,0
Балткредобанк,2005,1,12.7,-9.85249767610451,1.1,8.32,21.83,0.72,15.53,13.03,1.25,81.98,174.97,7.77,-6.96,Частный,Подъем,0
Балткредобанк,2005,2,12.96,13.889074752811648,1.3,8.32,21.83,0.72,15.53,13.03,1.25,81.98,174.97,7.77,-6.96,Частный,Подъем,0
Балткредобанк,2005,3,13.63,15.112037669839108,3.4,8.32,21.83,0.72,15.53,13.03,1.25,81.98,174.97,7.77,-6.96,Частный,Подъем,0
Балткредобанк,2005,4,13.77,6.5491293179213095,2.9,8.32,21.83,0.72,15.53,13.03,1.25,81.98,174.97,7.77,-6.96,Частный,Подъем,0
Балткредобанк,2006,1,10.71,-6.986160785351647,3.1,10.56,2.53,0.96,45.76,5.5,0.7,67.22,290.32,20.17,5.33,Частный,Подъем,0
Балткредобанк,2006,2,11.18,9.927963694161468,3.3,10.56,2.53,0.96,45.76,5.5,0.7,67.22,290.32,20.17,5.33,Частный,Подъем,0
Балткредобанк,2006,3,10.61,14.255131709102486,2.0,10.56,2.53,0.96,45.76,5.5,0.7,67.22,290.32,20.17,5.33,Частный,Подъем,0
Балткредобанк,2006,4,9.77,2.810507874520507,4.1,10.56,2.53,0.96,45.76,5.5,0.7,67.22,290.32,20.17,5.33,Частный,Подъем,0
КБ “Капитал Кредит”,2003,1,14.29,-5.8068465623421055,7.3,45.3,0.19,0.27,18.7,5.915,0.00278,6.07,189.4,12.45,11.6,Частный,Подъем,0
КБ “Капитал Кредит”,2003,2,14.82,8.789155940807603,2.0,45.3,0.19,0.27,18.7,5.915,0.00278,6.07,189.4,12.45,11.6,Частный,Подъем,0
КБ “Капитал Кредит”,2003,3,14.78,16.07274248117121,4.0,45.3,0.19,0.27,18.7,5.915,0.00278,6.07,189.4,12.45,11.6,Частный,Подъем,0
КБ “Капитал Кредит”,2003,4,14.62,1.5274907758913159,5.2,45.3,0.19,0.27,18.7,5.915,0.00278,6.07,189.4,12.45,11.6,Частный,Подъем,0
КБ “Капитал Кредит”,2004,1,11.28,-3.818034610298593,1.1,33.6,0.48,0.41,99,13.83,0.00278,72,142.8,20.3,67.9,Частный,Подъем,0
КБ “Капитал Кредит”,2004,2,10.58,12.969168812212374,5.2,33.6,0.48,0.41,99,13.83,0.00278,72,142.8,20.3,67.9,Частный,Подъем,0
КБ “Капитал Кредит”,2004,3,10.25,15.671595592416775,3.8,33.6,0.48,0.41,99,13.83,0.00278,72,142.8,20.3,67.9,Частный,Подъем,0
КБ “Капитал Кредит”,2004,4,10.22,7.659556893485675,1.1,33.6,0.48,0.41,99,13.83,0.00278,72,142.8,20.3,67.9,Частный,Подъем,0
КБ “Капитал Кредит”,2005,1,12.7,-9.85249767610451,1.1,25,1.2,0.83,62.33,14.52,0.11,62,160,30,52.65,Частный,Подъем,0
КБ “Капитал Кредит”,2005,2,12.96,13.889074752811648,1.3,25,1.2,0.83,62.33,14.52,0.11,62,160,30,52.65,Частный,Подъем,0
КБ “Капитал Кредит”,2005,3,13.63,15.112037669839108,3.4,25,1.2,0.83,62.33,14.52,0.11,62,160,30,52.65,Частный,Подъем,0
КБ “Капитал Кредит”,2005,4,13.77,6.5491293179213095,2.9,25,1.2,0.83,62.33,14.52,0.11,62,160,30,52.65,Частный,Подъем,0
КБ “Капитал Кредит”,2006,1,10.71,-6.986160785351647,3.1,18.24,3,0.53,42.67,15,0.36,42,180.89,41.88,27.45,Частный,Подъем,0
КБ “Капитал Кредит”,2006,2,11.18,9.927963694161468,3.3,18.24,3,0.53,42.67,15,0.36,42,180.89,41.88,27.45,Частный,Подъем,0
КБ “Капитал Кредит”,2006,3,10.61,14.255131709102486,2.0,18.24,3,0.53,42.67,15,0.36,42,180.89,41.88,27.45,Частный,Подъем,0
КБ “Капитал Кредит”,2006,4,9.77,2.810507874520507,4.1,18.24,3,0.53,42.67,15,0.36,42,180.89,41.88,27.45,Частный,Подъем,0
АКБ “Лефко-банк”,2003,1,14.29,-5.8068465623421055,7.3,33.3,0.15,0.53,104.3,15.78,19.5,12,208.9,5.9,20,Частный,Подъем,0
АКБ “Лефко-банк”,2003,2,14.82,8.789155940807603,2.0,33.3,0.15,0.53,104.3,15.78,19.5,12,208.9,5.9,20,Частный,Подъем,0
АКБ “Лефко-банк”,2003,3,14.78,16.07274248117121,4.0,33.3,0.15,0.53,104.3,15.78,19.5,12,208.9,5.9,20,Частный,Подъем,0
АКБ “Лефко-банк”,2003,4,14.62,1.5274907758913159,5.2,33.3,0.15,0.53,104.3,15.78,19.5,12,208.9,5.9,20,Частный,Подъем,0
АКБ “Лефко-банк”,2004,1,11.28,-3.818034610298593,1.1,39.5,0.59,1.13,258,8.85,19.2,-9.6,147.4,17.8,135.5,Частный,Подъем,0
АКБ “Лефко-банк”,2004,2,10.58,12.969168812212374,5.2,39.5,0.59,1.13,258,8.85,19.2,-9.6,147.4,17.8,135.5,Частный,Подъем,0
АКБ “Лефко-банк”,2004,3,10.25,15.671595592416775,3.8,39.5,0.59,1.13,258,8.85,19.2,-9.6,147.4,17.8,135.5,Частный,Подъем,0
